md5,duplicate_of,duplicate_path,split,class
1829d716613d6d3022da2f82368071ae,Training\notumor\Tr-no_1154.jpg,Training\notumor\Tr-no_854.jpg,Training,notumor
46bdd15e88da99beefcb999aea360457,Training\notumor\Tr-no_116.jpg,Training\notumor\Tr-no_121.jpg,Training,notumor
84482e0ddc1ea348e987987c7d9252dd,Training\notumor\Tr-no_1179.jpg,Training\notumor\Tr-no_1320.jpg,Training,notumor
4c8a57ca4fda6790732ae397b23acfa3,Training\notumor\Tr-no_1187.jpg,Training\notumor\Tr-no_420.jpg,Training,notumor
ce0edd8064f376cf8360d63c4d9ebdd8,Training\notumor\Tr-no_1190.jpg,Training\notumor\Tr-no_44.jpg,Training,notumor
9eb9f2c929d940f7333441cf7301f205,Training\notumor\Tr-no_1203.jpg,Training\notumor\Tr-no_154.jpg,Training,notumor
9eb9f2c929d940f7333441cf7301f205,Training\notumor\Tr-no_1203.jpg,Training\notumor\Tr-no_725.jpg,Training,notumor
75b704201c2125c4ac02a0acf836802d,Training\notumor\Tr-no_1208.jpg,Training\notumor\Tr-no_410.jpg,Training,notumor
e83c5b3fc278777d5a563a2c45f855b1,Training\notumor\Tr-no_1240.jpg,Training\notumor\Tr-no_990.jpg,Training,notumor
19e1c11270a5105459a8f52090262d4a,Training\notumor\Tr-no_1244.jpg,Training\notumor\Tr-no_1392.jpg,Training,notumor
19e1c11270a5105459a8f52090262d4a,Training\notumor\Tr-no_1244.jpg,Training\notumor\Tr-no_781.jpg,Training,notumor
547162f38043fe5cf612896adbaa193e,Training\notumor\Tr-no_1245.jpg,Training\notumor\Tr-no_133.jpg,Training,notumor
1f23dacaac228811e45af94981be031c,Training\notumor\Tr-no_1267.jpg,Training\notumor\Tr-no_380.jpg,Training,notumor
1f23dacaac228811e45af94981be031c,Training\notumor\Tr-no_1267.jpg,Training\notumor\Tr-no_387.jpg,Training,notumor
d4213cadb7fdc260baf35de0ef3072bd,Training\notumor\Tr-no_1281.jpg,Training\notumor\Tr-no_550.jpg,Training,notumor
46e6159f43133d0a4739a0f84fa10411,Training\notumor\Tr-no_1288.jpg,Training\notumor\Tr-no_831.jpg,Training,notumor
46e6159f43133d0a4739a0f84fa10411,Training\notumor\Tr-no_1288.jpg,Training\notumor\Tr-no_863.jpg,Training,notumor
75378ac81f02855ccf2b17a8492f3941,Training\notumor\Tr-no_1289.jpg,Training\notumor\Tr-no_156.jpg,Training,notumor
55bc232802b2c8122e875919c6ccbcfa,Training\notumor\Tr-no_1290.jpg,Training\notumor\Tr-no_281.jpg,Training,notumor
c07e4455eaba1aa3be49247aa6129b90,Training\notumor\Tr-no_1291.jpg,Training\notumor\Tr-no_490.jpg,Training,notumor
fdea69d8f1eaf6ad0933a4e4ba3cc4f6,Training\notumor\Tr-no_1302.jpg,Training\notumor\Tr-no_341.jpg,Training,notumor
1b2d322078b0e4fe2357333142491edd,Training\notumor\Tr-no_1309.jpg,Training\notumor\Tr-no_699.jpg,Training,notumor
72622502c4407a4cbdc8141151f0e585,Training\notumor\Tr-no_1316.jpg,Training\notumor\Tr-no_475.jpg,Training,notumor
9a96042ca9379abbdb7be132cb833221,Training\notumor\Tr-no_1326.jpg,Training\notumor\Tr-no_411.jpg,Training,notumor
aa86a91e84f337895ac6c95378e5cc54,Training\notumor\Tr-no_1330.jpg,Training\notumor\Tr-no_825.jpg,Training,notumor
eaed62da90b11d4efc075a06ac31932d,Training\notumor\Tr-no_1333.jpg,Training\notumor\Tr-no_273.jpg,Training,notumor
86c4da692caccbe369acf7c886626083,Training\notumor\Tr-no_1334.jpg,Training\notumor\Tr-no_235.jpg,Training,notumor
208670d4d74e93c59795a71a6e8edaf1,Training\notumor\Tr-no_1336.jpg,Training\notumor\Tr-no_165.jpg,Training,notumor
632120a6491595c8f2646222e132159e,Training\notumor\Tr-no_134.jpg,Training\notumor\Tr-no_255.jpg,Training,notumor
7f4d91f6e5c91dc0501e9d9562042f58,Training\notumor\Tr-no_1346.jpg,Training\notumor\Tr-no_889.jpg,Training,notumor
33545775c68d06694c0cd52a399584a7,Training\notumor\Tr-no_1374.jpg,Training\notumor\Tr-no_840.jpg,Training,notumor
3c6fa0ae2ede310bc6dc2dd7a6fbbaa3,Training\notumor\Tr-no_1379.jpg,Training\notumor\Tr-no_810.jpg,Training,notumor
e8987ab719f704faf79a88816c763226,Training\notumor\Tr-no_138.jpg,Training\notumor\Tr-no_1383.jpg,Training,notumor
382a309c1662909431e041df2e825b7e,Training\notumor\Tr-no_1390.jpg,Training\notumor\Tr-no_565.jpg,Training,notumor
05fe39a899414d2dab6cad25c301b32c,Training\notumor\Tr-no_1393.jpg,Training\notumor\Tr-no_642.jpg,Training,notumor
92d345cb0e551329cb0ab0041b1d531f,Training\notumor\Tr-no_1395.jpg,Training\notumor\Tr-no_17.jpg,Training,notumor
c6aa58f0d3713e5aec0cf8b373ba02e5,Training\notumor\Tr-no_1397.jpg,Training\notumor\Tr-no_660.jpg,Training,notumor
b9504d1f84629a48b2de81a52aa0468a,Training\notumor\Tr-no_1398.jpg,Training\notumor\Tr-no_516.jpg,Training,notumor
e5437347d710af8e850b85b3680e7f9b,Training\notumor\Tr-no_14.jpg,Training\notumor\Tr-no_48.jpg,Training,notumor
bbe4e3817fcf574daf45adf8a2915106,Training\notumor\Tr-no_168.jpg,Training\notumor\Tr-no_230.jpg,Training,notumor
bbe4e3817fcf574daf45adf8a2915106,Training\notumor\Tr-no_168.jpg,Training\notumor\Tr-no_738.jpg,Training,notumor
fe2231f523d6d1cabd4670f11b829773,Training\notumor\Tr-no_194.jpg,Training\notumor\Tr-no_219.jpg,Training,notumor
0cc82102690c7ecbba7b211e9dca4da6,Training\notumor\Tr-no_224.jpg,Training\notumor\Tr-no_232.jpg,Training,notumor
0cc82102690c7ecbba7b211e9dca4da6,Training\notumor\Tr-no_224.jpg,Training\notumor\Tr-no_29.jpg,Training,notumor
665bf16ea1489fb798ee0dd3acaade79,Training\notumor\Tr-no_250.jpg,Training\notumor\Tr-no_472.jpg,Training,notumor
bdad00de17000453a6986b7064548f21,Training\notumor\Tr-no_280.jpg,Training\notumor\Tr-no_448.jpg,Training,notumor
a83cb7f08470fe605a874d75e12aec8a,Training\notumor\Tr-no_293.jpg,Training\notumor\Tr-no_60.jpg,Training,notumor
8d5cb4ac464ba805ec639f4c38da6191,Training\notumor\Tr-no_304.jpg,Training\notumor\Tr-no_916.jpg,Training,notumor
342b29d63e0103afbe3fab52b8536af2,Training\notumor\Tr-no_315.jpg,Training\notumor\Tr-no_8.jpg,Training,notumor
342b29d63e0103afbe3fab52b8536af2,Training\notumor\Tr-no_315.jpg,Training\notumor\Tr-no_935.jpg,Training,notumor
d3692b5c51d63ded1b913019a2027789,Training\notumor\Tr-no_349.jpg,Training\notumor\Tr-no_779.jpg,Training,notumor
f026747e5401d8a361e0566ad9166b5d,Training\notumor\Tr-no_356.jpg,Training\notumor\Tr-no_463.jpg,Training,notumor
aefc8e18544fc436f74fb90128910a57,Training\notumor\Tr-no_388.jpg,Training\notumor\Tr-no_636.jpg,Training,notumor
7ce25d17c7839af995b51e5e308cbd08,Training\notumor\Tr-no_40.jpg,Training\notumor\Tr-no_581.jpg,Training,notumor
4a22015417b3ab93cd89679e4fa22129,Training\notumor\Tr-no_421.jpg,Training\notumor\Tr-no_582.jpg,Training,notumor
8039b6fdb903c359232053b858fca09f,Training\notumor\Tr-no_423.jpg,Training\notumor\Tr-no_63.jpg,Training,notumor
570dac1fc1d035ab025b3132a5b653ae,Training\notumor\Tr-no_43.jpg,Training\notumor\Tr-no_963.jpg,Training,notumor
bc7e75fa5d8cff54b445b79275272d54,Training\notumor\Tr-no_433.jpg,Training\notumor\Tr-no_492.jpg,Training,notumor
961071052eb301a3e0cd452df5cfa975,Training\notumor\Tr-no_435.jpg,Training\notumor\Tr-no_755.jpg,Training,notumor
b6ce0a54d799d61f77617809c5e78ef2,Training\notumor\Tr-no_447.jpg,Training\notumor\Tr-no_720.jpg,Training,notumor
b6ce0a54d799d61f77617809c5e78ef2,Training\notumor\Tr-no_447.jpg,Training\notumor\Tr-no_839.jpg,Training,notumor
2e793e328d071f0be0cd3a7445d15dc6,Training\notumor\Tr-no_455.jpg,Training\notumor\Tr-no_866.jpg,Training,notumor
2979f0422f022037f032b69fda8cbcba,Training\notumor\Tr-no_473.jpg,Training\notumor\Tr-no_778.jpg,Training,notumor
564d3b81b447a6a62883e7a8bc5476cf,Training\notumor\Tr-no_486.jpg,Training\notumor\Tr-no_920.jpg,Training,notumor
6142acdc1f1b32e31ea0f73324b5f356,Training\notumor\Tr-no_493.jpg,Training\notumor\Tr-no_664.jpg,Training,notumor
4295eee904f5e6c205b01cbae01efab6,Training\notumor\Tr-no_499.jpg,Training\notumor\Tr-no_734.jpg,Training,notumor
40881ffd0417f7d60164cbec5265be37,Training\notumor\Tr-no_518.jpg,Training\notumor\Tr-no_92.jpg,Training,notumor
7ab84ada9eeadbc4f93ae1afcf38628b,Training\notumor\Tr-no_524.jpg,Training\notumor\Tr-no_617.jpg,Training,notumor
b57daf6bdf4eba86d249368f83891067,Training\notumor\Tr-no_540.jpg,Training\notumor\Tr-no_753.jpg,Training,notumor
f6a666f3aad6223c98e59c677b06310c,Training\notumor\Tr-no_56.jpg,Training\notumor\Tr-no_73.jpg,Training,notumor
d52e77fd0e12cfd96d437f00bce28eef,Training\notumor\Tr-no_577.jpg,Training\notumor\Tr-no_764.jpg,Training,notumor
2c7025438fab31a227acfa917e126d33,Training\notumor\Tr-no_58.jpg,Training\notumor\Tr-no_906.jpg,Training,notumor
9fd7bb93bb0e52f47db21ccdc091a9fc,Training\notumor\Tr-no_588.jpg,Training\notumor\Tr-no_989.jpg,Training,notumor
06c3e21e888012e7845da47b26b742e8,Training\notumor\Tr-no_649.jpg,Training\notumor\Tr-no_817.jpg,Training,notumor
0abe34033d22367d0fe55445050a6f7e,Training\notumor\Tr-no_673.jpg,Training\notumor\Tr-no_995.jpg,Training,notumor
43a7b114cc14ecb127e3feb427e8a2dc,Training\notumor\Tr-no_721.jpg,Training\notumor\Tr-no_81.jpg,Training,notumor
d966ed9f01d9fac152e7a4bed63ac281,Training\notumor\Tr-no_750.jpg,Training\notumor\Tr-no_843.jpg,Training,notumor
713df8b9d91cb6721c6e2478df82fc02,Training\notumor\Tr-no_766.jpg,Training\notumor\Tr-no_967.jpg,Training,notumor
7be661c7ec1d3c648894b51bb7ffdf3e,Training\notumor\Tr-no_880.jpg,Training\notumor\Tr-no_918.jpg,Training,notumor
61d0aeacb5768eca8d91ed7915c5648b,Training\notumor\Tr-no_933.jpg,Training\notumor\Tr-no_969.jpg,Training,notumor
51e083128ee310d25cab89a4b175624b,Training\pituitary\Tr-pi_1071.jpg,Training\pituitary\Tr-pi_1207.jpg,Training,pituitary
51e083128ee310d25cab89a4b175624b,Training\pituitary\Tr-pi_1071.jpg,Training\pituitary\Tr-pi_991.jpg,Training,pituitary
0140560cc9a91abc3e62e9e1bec6c5ea,Training\pituitary\Tr-pi_1098.jpg,Training\pituitary\Tr-pi_1155.jpg,Training,pituitary
45e8c308a42e1995239b2934f71bace3,Training\pituitary\Tr-pi_1122.jpg,Training\pituitary\Tr-pi_1196.jpg,Training,pituitary
45e8c308a42e1995239b2934f71bace3,Training\pituitary\Tr-pi_1122.jpg,Training\pituitary\Tr-pi_943.jpg,Training,pituitary
e3ba2a330b921704ecae3a47624106e3,Training\pituitary\Tr-pi_1154.jpg,Training\pituitary\Tr-pi_1211.jpg,Training,pituitary
e3ba2a330b921704ecae3a47624106e3,Training\pituitary\Tr-pi_1154.jpg,Training\pituitary\Tr-pi_1339.jpg,Training,pituitary
e3ba2a330b921704ecae3a47624106e3,Training\pituitary\Tr-pi_1154.jpg,Training\pituitary\Tr-pi_160.jpg,Training,pituitary
3665fdf79547807d98e5053427a45a98,Training\pituitary\Tr-pi_1181.jpg,Training\pituitary\Tr-pi_668.jpg,Training,pituitary
6c9fee8d2f733b06b500a0ab9d0c3fd3,Training\pituitary\Tr-pi_1187.jpg,Training\pituitary\Tr-pi_384.jpg,Training,pituitary
6c9fee8d2f733b06b500a0ab9d0c3fd3,Training\pituitary\Tr-pi_1187.jpg,Training\pituitary\Tr-pi_863.jpg,Training,pituitary
680022005ea0acdf17c86efc8f81b931,Training\pituitary\Tr-pi_120.jpg,Training\pituitary\Tr-pi_763.jpg,Training,pituitary
ca3ad7e6cd4825a0d5cff84d11757bed,Training\pituitary\Tr-pi_1209.jpg,Training\pituitary\Tr-pi_1352.jpg,Training,pituitary
72767d52cc2aad37a5cfb24ff23bb06a,Training\pituitary\Tr-pi_1252.jpg,Training\pituitary\Tr-pi_461.jpg,Training,pituitary
72767d52cc2aad37a5cfb24ff23bb06a,Training\pituitary\Tr-pi_1252.jpg,Training\pituitary\Tr-pi_528.jpg,Training,pituitary
b6276f725b9a3661ea24de2d01adf881,Training\pituitary\Tr-pi_1309.jpg,Training\pituitary\Tr-pi_261.jpg,Training,pituitary
690f2c41084c1b8727b1c51812153004,Training\pituitary\Tr-pi_132.jpg,Training\pituitary\Tr-pi_564.jpg,Training,pituitary
b612aa0d702020c3dd896f4294000a02,Training\pituitary\Tr-pi_1323.jpg,Training\pituitary\Tr-pi_984.jpg,Training,pituitary
58e47a3e12d09d40c54a8672b481c175,Training\pituitary\Tr-pi_1399.jpg,Training\pituitary\Tr-pi_195.jpg,Training,pituitary
667db113b8954435f1ceab3122f5b296,Training\pituitary\Tr-pi_163.jpg,Training\pituitary\Tr-pi_504.jpg,Training,pituitary
008c98403b057fc344bf0a9f2e7de6c2,Training\pituitary\Tr-pi_17.jpg,Training\pituitary\Tr-pi_306.jpg,Training,pituitary
99e0890275f773a6baa17d02fc0bdefb,Training\pituitary\Tr-pi_193.jpg,Training\pituitary\Tr-pi_812.jpg,Training,pituitary
05c3caea567ffd77caf79c12654b87e5,Training\pituitary\Tr-pi_221.jpg,Training\pituitary\Tr-pi_430.jpg,Training,pituitary
05c3caea567ffd77caf79c12654b87e5,Training\pituitary\Tr-pi_221.jpg,Training\pituitary\Tr-pi_883.jpg,Training,pituitary
b7f875bedfac719015cc81bc888151b3,Training\pituitary\Tr-pi_246.jpg,Training\pituitary\Tr-pi_698.jpg,Training,pituitary
b7f875bedfac719015cc81bc888151b3,Training\pituitary\Tr-pi_246.jpg,Training\pituitary\Tr-pi_969.jpg,Training,pituitary
15cf7ebeefbbb7e57abf759acc3af7ef,Training\pituitary\Tr-pi_285.jpg,Training\pituitary\Tr-pi_962.jpg,Training,pituitary
00748c6aaa5c199b07f8fa7140fc19c1,Training\pituitary\Tr-pi_286.jpg,Training\pituitary\Tr-pi_397.jpg,Training,pituitary
406052e058bc64ffed1f9c9e2b65687c,Training\pituitary\Tr-pi_311.jpg,Training\pituitary\Tr-pi_320.jpg,Training,pituitary
dcd64c030193c4b3a8a69460e4906807,Training\pituitary\Tr-pi_356.jpg,Training\pituitary\Tr-pi_759.jpg,Training,pituitary
dcd64c030193c4b3a8a69460e4906807,Training\pituitary\Tr-pi_356.jpg,Training\pituitary\Tr-pi_77.jpg,Training,pituitary
4e5a8e1b13dce709484145eb0ac3ce70,Training\pituitary\Tr-pi_396.jpg,Training\pituitary\Tr-pi_476.jpg,Training,pituitary
37d9b2e8f32519fba8e67ef120bb343e,Training\pituitary\Tr-pi_405.jpg,Training\pituitary\Tr-pi_634.jpg,Training,pituitary
37d9b2e8f32519fba8e67ef120bb343e,Training\pituitary\Tr-pi_405.jpg,Training\pituitary\Tr-pi_928.jpg,Training,pituitary
7aace426ed99cbee63e3f7fb55465590,Training\pituitary\Tr-pi_410.jpg,Training\pituitary\Tr-pi_515.jpg,Training,pituitary
9ac2bb858e51e57e9652feba3728004e,Training\pituitary\Tr-pi_464.jpg,Training\pituitary\Tr-pi_75.jpg,Training,pituitary
37467cc9d034a9213e185a0790a0a6b3,Training\pituitary\Tr-pi_542.jpg,Training\pituitary\Tr-pi_857.jpg,Training,pituitary
37f42c6a8b3782e3fe33c00e570ad7fe,Training\pituitary\Tr-pi_805.jpg,Training\pituitary\Tr-pi_878.jpg,Training,pituitary
